responsavel,uo,orgao,n_sigcon,tipo_indicacao,ano_inciso,impositividade,municipio,razao_social,cnpj,codesc,acao,grupo_despesa,genero,categoria,especificacao,descricao,tipo_aplicacao,vl_indicado,data_indicacao_sigcon, vl_informado , vl_sanear , vl_sem_impedimento , vl_utilizado , vl_empenhado_sigcon ,execucao_financeira,n_proposta,n_siafi,n_resolucao,status_indicacao,status_instrumento, vl_pago ,status_pgto,atualizado em
AGOSTINHO PATRUS FILHO,4291,SES,52688,RESOLUÇÃO,2020,S,SANTA MARIA DO SUACUI,HOSPITAL SANTA MARIA ETERNA,20974770000142,,1008,INVESTIMENTOS,,,,,FES Bem permanente,R$ 400.000,00,17/04/2020 15:35, R$ 400.000,00 ,, R$ 400.000,00 , R$ 400.000,00 ,,SIAFI,,9247671,7098,APROVADO,, R$ 400.000,00 ,PAGO (TOTAL),2020-12-15 01:42:03.563166
AGOSTINHO PATRUS FILHO,4291,SES,52703,RESOLUÇÃO,2020,S,CAMPESTRE,FUNDO MUNICIPAL DE SAÚDE DE CAMPESTRE,11939987000120,,1008,OUTRAS DESPESAS CORRENTES,,,,,FES Custeio,R$ 100.000,00,17/04/2020 16:55, R$ 100.000,00 ,, R$ 100.000,00 , R$ 100.000,00 ,,SIAFI,,9248576,7097,APROVADO,, R$ 100.000,00 ,PAGO (TOTAL),2020-12-15 01:42:03.563166
AGOSTINHO PATRUS FILHO,4291,SES,52750,RESOLUÇÃO,2020,S,PEDRA AZUL,FUNDO MUNICIPAL DE SAÚDE DE PEDRA AZUL,11538441000168,,1008,OUTRAS DESPESAS CORRENTES,,,,,FES Custeio,R$ 100.000,00,17/04/2020 22:13, R$ 100.000,00 ,, R$ 100.000,00 , R$ 100.000,00 ,,SIAFI,,9248015,7097,APROVADO,, R$ 100.000,00 ,PAGO (TOTAL),2020-12-15 01:42:03.563166
AGOSTINHO PATRUS FILHO,1491,SEGOV,48403,CELEBRAÇÃO DE CONVÊNIO,2020,S,BAEPENDI,MUNICÍPIO DE BAEPENDI,18008862000126,,2007,INVESTIMENTOS,REFORMA OU OBRA,Calçamento,Via Urbana ,Calçamento de vias urbanas municipais,,R$ 500.000,00,16/03/2020 17:38, R$ 500.000,00 ,, R$ 500.000,00 , R$ 500.000,00 ,,SIAFI,001352/2020,9251618,,APROVADO,VIGENTE, R$ 500.000,00 ,PAGO (TOTAL),2020-12-15 01:42:03.563166
AGOSTINHO PATRUS FILHO,1491,SEGOV,48410,CELEBRAÇÃO DE CONVÊNIO,2020,S,CAMPESTRE,PREFEITURA MUNICIPAL DE CAMPESTRE,18178400000157,,2007,INVESTIMENTOS,REFORMA OU OBRA,Pavimentação,Via Urbana,Pavimentação asfáltica de vias urbanas municipais,,R$ 800.000,00,16/03/2020 17:40, R$ 800.000,00 ,, R$ 800.000,00 , R$ 800.000,00 ,,SIAFI,000157/2020,9251433,,APROVADO,VIGENTE, R$ 800.000,00 ,PAGO (TOTAL),2020-12-15 01:42:03.563166
AGOSTINHO PATRUS FILHO,1491,SEGOV,48434,CELEBRAÇÃO DE CONVÊNIO,2020,S,UBAI,PREFEITURA MUNICIPAL DE UBAÍ,18017459000163,,2007,INVESTIMENTOS,REFORMA OU OBRA,Construção,Equipamento Esportivo,Construção de complexo esportivo,,R$ 800.000,00,16/03/2020 17:45, R$ 800.000,00 ,, R$ 800.000,00 , R$ 800.000,00 ,,SIAFI,001590/2020,9251715,,APROVADO,VIGENTE, R$ 800.000,00 ,PAGO (TOTAL),2020-12-15 01:42:03.563166
AGOSTINHO PATRUS FILHO,1491,SEGOV,48445,CELEBRAÇÃO DE CONVÊNIO,2020,S,PECANHA,PREFEITURA MUNICIPAL DE PEÇANHA,18409227000150,,2007,INVESTIMENTOS,REFORMA OU OBRA,Calçamento,Via Urbana ,Calçamento de vias urbanas municipais,,R$ 215.000,00,16/03/2020 17:48, R$ 215.000,00 ,, R$ 215.000,00 , R$ 215.000,00 ,,SIAFI,001496/2020,9251427,,APROVADO,VIGENTE, R$ 215.000,00 ,PAGO (TOTAL),2020-12-15 01:42:03.563166
AGOSTINHO PATRUS FILHO,1491,SEGOV,48454,CELEBRAÇÃO DE CONVÊNIO,2020,S,CRISOLITA,PREFEITURA MUNICIPAL DE CRISÓLITA,1614283000124,,2007,INVESTIMENTOS,REFORMA OU OBRA,Calçamento,Via Urbana ,Calçamento de vias urbanas municipais,,R$ 150.000,00,16/03/2020 17:50, R$ 150.000,00 ,, R$ 150.000,00 , R$ 150.000,00 ,,SIAFI,001472/2020,9251498,,APROVADO,VIGENTE, R$ 150.000,00 ,PAGO (TOTAL),2020-12-15 01:42:03.563166
AGOSTINHO PATRUS FILHO,1491,SEGOV,48462,CELEBRAÇÃO DE CONVÊNIO,2020,S,DESTERRO DO MELO,MUNICIPIO DE DESTERRO DO MELO,18094813000153,,2007,INVESTIMENTOS,REFORMA OU OBRA,Pavimentação,Via Urbana,Pavimentação asfáltica de vias urbanas municipal,,R$ 300.000,00,16/03/2020 17:51, R$ 300.000,00 ,, R$ 300.000,00 , R$ 300.000,00 ,,SIAFI,002144/2020,9251421,,APROVADO,VIGENTE, R$ -   ,EM PROCESSAMENTO,2020-12-15 01:42:03.563166
AGOSTINHO PATRUS FILHO,1491,SEGOV,48490,CELEBRAÇÃO DE CONVÊNIO,2020,S,RIO CASCA,PREFEITURA MUNICIPAL DE RIO CASCA,18836957000138,,2007,INVESTIMENTOS,REFORMA OU OBRA,Calçamento,Via Urbana ,Calçamento de vias urbanas municipais,,R$ 210.000,00,16/03/2020 17:54, R$ 210.000,00 ,, R$ 210.000,00 , R$ 210.000,00 ,,SIAFI,001512/2020,9251712,,APROVADO,VIGENTE, R$ 210.000,00 ,PAGO (TOTAL),2020-12-15 01:42:03.563166
AGOSTINHO PATRUS FILHO,1491,SEGOV,48504,CELEBRAÇÃO DE CONVÊNIO,2020,S,SENHORA DOS REMEDIOS,PREFEITURA MUNICIPAL DE SENHORA DOS REMÉDIOS,18094870000132,,2007,INVESTIMENTOS,AQUISIÇÃO DE BENS,Permanente,Caminhão com implemento (baú caçamba pipa carroceria basculante compactador etc),Aquisição de caminhão compactador de lixo,,R$ 252.602,00,16/03/2020 17:56, R$ 252.602,00 ,, R$ 252.602,00 , R$ 252.602,00 ,,SIAFI,002019/2020,9251322,,APROVADO,VIGENTE, R$ -   ,EM PROCESSAMENTO,2020-12-15 01:42:03.563166
AGOSTINHO PATRUS FILHO,1511,PCMG,48722,EXECUÇÃO DIRETA,2020,S,BELO HORIZONTE,POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS,18715532000170,,4025,INVESTIMENTOS,,,,Viatura,PCMG Viatura básica,R$ 90.000,00,16/03/2020 18:46, R$ 90.000,00 ,, R$ 90.000,00 , R$ 90.000,00 ,,SIAFI,,,,APROVADO,,,,2020-12-15 01:42:03.563166
AGOSTINHO PATRUS FILHO,4291,SES,48529,RESOLUÇÃO,2020,S,BELO HORIZONTE,FUNDO MUNICIPAL DE SAÚDE DE BELO HORIZONTE,11728239000107,,4460,OUTRAS DESPESAS CORRENTES,,,,,FES Custeio,R$ 1.000.000,00,16/03/2020 18:00, R$ 1.000.000,00 ,, R$ 1.000.000,00 , R$ 1.000.000,00 ,,SIAFI,,9248766,7097,APROVADO,, R$ 1.000.000,00 ,PAGO (TOTAL),2020-12-15 01:42:03.563166
AGOSTINHO PATRUS FILHO,4291,SES,48537,RESOLUÇÃO,2020,S,CURVELO,FUNDO MUNICIPAL DE SAÚDE DE CURVELO,11346878000108,,4460,OUTRAS DESPESAS CORRENTES,,,,,FES Custeio,R$ 105.000,00,16/03/2020 18:02, R$ 105.000,00 ,, R$ 105.000,00 , R$ 105.000,00 ,,SIAFI,,9248682,7097,APROVADO,, R$ 105.000,00 ,PAGO (TOTAL),2020-12-15 01:42:03.563166
AGOSTINHO PATRUS FILHO,4291,SES,48550,RESOLUÇÃO,2020,S,SAO SEBASTIAO DO RIO VERDE,FUNDO MUNICIPAL DE SAÚDE DE SÃO SEBASTIÃO DO RIO VERDE,12237572000178,,4460,OUTRAS DESPESAS CORRENTES,,,,,FES Custeio,R$ 125.000,00,16/03/2020 18:04, R$ 125.000,00 ,, R$ 125.000,00 , R$ 125.000,00 ,,SIAFI,,9248473,7097,APROVADO,, R$ 125.000,00 ,PAGO (TOTAL),2020-12-15 01:42:03.563166
AGOSTINHO PATRUS FILHO,4291,SES,48563,RESOLUÇÃO,2020,S,BELO HORIZONTE,FUNDO MUNICIPAL DE SAÚDE DE BELO HORIZONTE,11728239000107,,4460,OUTRAS DESPESAS CORRENTES,,,,,FES Custeio,R$ 300.000,00,16/03/2020 18:06, R$ 300.000,00 ,, R$ 300.000,00 , R$ 300.000,00 ,,SIAFI,,9248765,7097,APROVADO,, R$ 300.000,00 ,PAGO (TOTAL),2020-12-15 01:42:03.563166
AGOSTINHO PATRUS FILHO,4291,SES,48566,RESOLUÇÃO,2020,S,ITAMONTE,FUNDO MUNICIPAL DE SAÚDE DE ITAMONTE,19364150000102,,4460,OUTRAS DESPESAS CORRENTES,,,,,FES Custeio,R$ 150.000,00,16/03/2020 18:07, R$ 150.000,00 ,, R$ 150.000,00 , R$ 150.000,00 ,,SIAFI,,9248744,7097,APROVADO,, R$ 150.000,00 ,PAGO (TOTAL),2020-12-15 01:42:03.563166
AGOSTINHO PATRUS FILHO,4291,SES,48567,RESOLUÇÃO,2020,S,ESPIRITO SANTO DO DOURADO,FUNDO MUNICIPAL DE SAÚDE DE ESPÍRITO SANTO DO DOURADO,11944623000139,,4460,OUTRAS DESPESAS CORRENTES,,,,,FES Custeio,R$ 100.000,00,16/03/2020 18:08, R$ 100.000,00 ,, R$ 100.000,00 , R$ 100.000,00 ,,SIAFI,,9248347,7097,APROVADO,, R$ 100.000,00 ,PAGO (TOTAL),2020-12-15 01:42:03.563166
